t[s], q0[rad], dq_cur0[rad/s], q_ref0[rad], dq_ref0[rad/s], ddq_ref0[rad/s^2], q_ref_pre0[rad], q_ref_final0[rad], tau_ref0[Nm], tau_ref_wo_ene_fb0[Nm], tau_cur0[Nm], q1[rad], dq_cur1[rad/s], q_ref1[rad], dq_ref1[rad/s], ddq_ref1[rad/s^2], q_ref_pre1[rad], q_ref_final1[rad], tau_ref1[Nm], tau_ref_wo_ene_fb1[Nm], tau_cur1[Nm], q2[rad], dq_cur2[rad/s], q_ref2[rad], dq_ref2[rad/s], ddq_ref2[rad/s^2], q_ref_pre2[rad], q_ref_final2[rad], tau_ref2[Nm], tau_ref_wo_ene_fb2[Nm], tau_cur2[Nm], l_cur0[m], dl_cur0[m/s], loadcell_cur0[uint16], tension_cur0[N], dl_ref0[m/s], tension_ref0[N], tension_ref_filtered0[N], q_motor_cur0[rad], dq_motor_cur0[rad/s], current_cur0[A], motor_torque_ref0[Nm], current_ref0[A], motor_vq0[V], motor_vd0[V], vdd0[V], vin0[V], control_status0, l_cur1[m], dl_cur1[m/s], loadcell_cur1[uint16], tension_cur1[N], dl_ref1[m/s], tension_ref1[N], tension_ref_filtered1[N], q_motor_cur1[rad], dq_motor_cur1[rad/s], current_cur1[A], motor_torque_ref1[Nm], current_ref1[A], motor_vq1[V], motor_vd1[V], vdd1[V], vin1[V], control_status1, l_cur2[m], dl_cur2[m/s], loadcell_cur2[uint16], tension_cur2[N], dl_ref2[m/s], tension_ref2[N], tension_ref_filtered2[N], q_motor_cur2[rad], dq_motor_cur2[rad/s], current_cur2[A], motor_torque_ref2[Nm], current_ref2[A], motor_vq2[V], motor_vd2[V], vdd2[V], vin2[V], control_status2, l_cur3[m], dl_cur3[m/s], loadcell_cur3[uint16], tension_cur3[N], dl_ref3[m/s], tension_ref3[N], tension_ref_filtered3[N], q_motor_cur3[rad], dq_motor_cur3[rad/s], current_cur3[A], motor_torque_ref3[Nm], current_ref3[A], motor_vq3[V], motor_vd3[V], vdd3[V], vin3[V], control_status3, l_cur4[m], dl_cur4[m/s], loadcell_cur4[uint16], tension_cur4[N], dl_ref4[m/s], tension_ref4[N], tension_ref_filtered4[N], q_motor_cur4[rad], dq_motor_cur4[rad/s], current_cur4[A], motor_torque_ref4[Nm], current_ref4[A], motor_vq4[V], motor_vd4[V], vdd4[V], vin4[V], control_status4, l_cur5[m], dl_cur5[m/s], loadcell_cur5[uint16], tension_cur5[N], dl_ref5[m/s], tension_ref5[N], tension_ref_filtered5[N], q_motor_cur5[rad], dq_motor_cur5[rad/s], current_cur5[A], motor_torque_ref5[Nm], current_ref5[A], motor_vq5[V], motor_vd5[V], vdd5[V], vin5[V], control_status5, pose_cur_pos_x[m], pose_cur_pos_y[m], pose_cur_pos_z[m], pose_cur_ori_x, pose_cur_ori_y, pose_cur_ori_z, pose_cur_ori_w, roll[rad], pitch[rad], yaw[rad], twist_cur_pos_x[m/s], twist_cur_pos_y[m/s], twist_cur_pos_z[m/s], twist_cur_ang_x[rad/s], twist_cur_ang_y[rad/s], twist_cur_ang_z[rad/s], twist_ref_pos_x[m/s], twist_ref_pos_y[m/s], twist_ref_pos_z[m/s], twist_ref_ang_x[rad/s], twist_ref_ang_y[rad/s], twist_ref_ang_z[rad/s], twist_cur_robot_pos_x[m/s], twist_cur_robot_pos_y[m/s], twist_cur_robot_pos_z[m/s], twist_cur_robot_ang_x[rad/s], twist_cur_robot_ang_y[rad/s], twist_cur_robot_ang_z[rad/s], gravity_x, gravity_y, gravity_z, x_fd_x[m], x_fd_y[m], x_fd_z[m], x_fd_robot_x[m], x_fd_robot_y[m], x_fd_robot_z[m], obs_lin_vel_x, obs_lin_vel_y, obs_lin_vel_z, obs_ang_vel_x, obs_ang_vel_y, obs_ang_vel_z, obs_gravity_x, obs_gravity_y, obs_gravity_z, obs_lin_vel_x_ref, obs_lin_vel_y_ref, obs_ang_vel_z_ref, obs_joint0, obs_joint1, obs_joint2, obs_joint_vel0, obs_joint_vel1, obs_joint_vel2, obs_is_standing, action0, action1, action2, e_slide[J], e_slide_ref[J], contact, stop, jump_count, force_calibrator[N], min_tension[N], kp_flight0[Nm/rad], kp_flight1[Nm/rad], kp_flight2[Nm/rad], kd_flight_pull[Ns/m], kd_flight_loosen[Ns/m], kp_stance0[Nm/rad], kp_stance1[Nm/rad], kp_stance2[Nm/rad], kd_stance_pull[Ns/m], kd_stance_loosen[Ns/m], kd_stop_pull[Ns/m], kd_stop_loosen[Ns/m], kp_rl0[Nm/rad], kp_rl1[Nm/rad], kp_rl2[Nm/rad], kd_rl_pull[Ns/m], kd_rl_loosen[Ns/m], tau_max_flight0[Nm], tau_max_flight1[Nm], tau_max_flight2[Nm], tau_max_stance0[Nm], tau_max_stance1[Nm], tau_max_stance2[Nm], tau_max_rl0[Nm], tau_max_rl1[Nm], tau_max_rl2[Nm], k_slide_energy[s/m2], q_slide_0[m], dq_slide_takeoff_ref[m/s], t_st[s], k_footpos[s], h_ref[m], f_slide_launch[N], constforce_launch_period[s], jump_max, wave_count, 
12.428, -0.000479369, 0, 0, 0, 0, -0.00076699, 0, 0.0431432, 0.0431432, 0, -0.0240643, 0, 0, 0, 0, -0.0238726, 0, 2.16579, 2.16579, 0, 0.417677, 0, 0.417677, 0, 0, 0.417694, 0, -10, -10, 0, 0.0182237, -0.00191747, 57, 7.11, 0, 49.9847, 49.9847, -1.82237, 0.191747, 0.469563, 0.499847, 5.02858, 0.00143433, 0.000183105, 11.9747, 75.4541, 0, -0.00116582, 0.00246532, 46, -13.64, 0, 50.074, 50.074, 0.116582, -0.246532, 0.552427, 0.50074, 4.96721, 0.00247192, -0.000549316, 11.9886, 75.824, 0, 0.0193281, 0.00136962, 40, 7.5, 0, 50.0411, 50.0411, -1.93281, -0.136962, 0.552427, 0.500411, 5.25555, 0.00119019, 0.000396729, 11.9608, 75.3308, 0, -0.00159534, 0.00164355, 65, 16.65, 0, 171.905, 56, 0.159534, -0.164355, 0.911505, 0.56, 5.81124, 0.00170898, -0.000305176, 11.9121, 75.2075, 0, 0.0208621, -0.0010957, 49, 3.68, 0, 192.917, 56, -2.08621, 0.10957, 0.690534, 0.56, 5.64149, 0.00115967, 0, 12.0513, 75.4541, 0, -0.014358, 0.00191747, 54, 7.96, 0, 192.089, 56, 1.4358, -0.191747, 0.580049, 0.56, 5.66955, 0.000946045, 0.000213623, 11.9539, 75.3308, 0, -0.0129366, 0.00839806, 0.00301934, -0.0041685, 0.00766747, -0.00144101, 0.999961, -0.00833711, 0.0153351, -0.00288206, 0.00279691, -0.000102708, 0.00931622, 0.00138297, 0.00017018, -1.09298e-05, 0, 0, 0, 0, 0, 0, 0.00265413, -0.000172695, 0.00935687, 0.000532648, 0.000922574, -0.00213059, 0.0153223, 0.00835877, -0.999848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -0, 50, 80, 80, 800, 10, 10, 90, 90, 2000, 10, 10, 30, 8, 50, 50, 2000, 0, 0, 10, 10, 100, 20, 20, 800, 100, 100, 1000, 0.85, -0.2, 1.5, 0.25, 0.15, 0.1, -600, 0.25, 1, 0, 
12.429, -0.000479369, 0, 0, 0, 0, 0, 0, 0.0431432, 0.0431432, 5.37007, -0.0240643, 0, 0, 0, 0, 0, 0, 2.16579, 2.16579, 2.17623, 0.417677, 0, 0.417677, 0, 0, 0.417677, 0, -10, -10, 5.25499, 0.0182237, 0.00301317, 57, 7.11, 0, 50.0904, 50.0904, -1.82237, -0.301317, 0.580049, 0.500904, 5.03926, 0.00332642, 0.000244141, 11.9747, 75.4541, 0, -0.00116582, 0.0021914, 46, -13.64, 0, 50.0657, 50.0657, 0.116582, -0.21914, 0.690534, 0.500657, 4.96639, 0.00265503, -0.000457764, 11.9886, 75.824, 0, 0.0193281, 0.000821775, 40, 7.5, 0, 50.0247, 50.0247, -1.93281, -0.0821775, 0.745777, 0.500247, 5.25382, 0.0010376, 0.000305176, 11.9608, 75.3308, 0, -0.00159534, -0.00383495, 64, 15.38, 0, 171.825, 106, 0.159534, 0.383495, 0.552427, 1.06, 11.0702, 0.00204468, -0.000183105, 11.9121, 75.2075, 0, 0.0208621, 0.000821775, 49, 3.68, 0, 192.95, 106, -2.08621, -0.0821775, 0.580049, 1.06, 10.7449, 0.00146484, 0.00012207, 12.0513, 75.4541, 0, -0.014358, 0.00301317, 54, 7.96, 0, 192.122, 106, 1.4358, -0.301317, 0.552427, 1.06, 10.7962, 0.000823975, 0, 11.9539, 75.3308, 0, -0.0129191, 0.00839528, 0.00307021, -0.00416911, 0.00766997, -0.00143286, 0.999961, -0.00833833, 0.0153401, -0.00286576, 0.00409524, -0.000671798, 0.0100262, -0.000576526, -0.000998923, 0.00541755, 0, 0, 0, 0, 0, 0, 0.00394303, -0.000744116, 0.0100819, -0.00145522, -0.000389926, 0.00319589, 0.0153274, 0.00835987, -0.999848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -0, 50, 80, 80, 800, 10, 10, 90, 90, 2000, 10, 10, 30, 8, 50, 50, 2000, 0, 0, 10, 10, 100, 20, 20, 800, 100, 100, 1000, 0.85, -0.2, 1.5, 0.25, 0.15, 0.1, -600, 0.25, 1, 0, 
12.4295, -0.000479369, 0, 0, 0, 0, 0, 0, 0.0431432, 0.0431432, 5.37007, -0.0240643, 0, 0, 0, 0, 0, 0, 2.16579, 2.16579, 2.17623, 0.417677, 0, 0.417677, 0, 0, 0.417677, 0, -10, -10, 5.25499, 0.0182237, -0.00164355, 57, 7.11, 0, 49.9869, 49.9869, -1.82237, 0.164355, 0.552427, 0.499869, 5.0288, 0.00186157, 0.000213623, 11.9747, 75.4541, 0, -0.00116582, -0.0032871, 46, -13.64, 0, 49.9737, 49.9737, 0.116582, 0.32871, 0.690534, 0.499737, 4.95723, 0.00213623, -0.000549316, 11.9886, 75.824, 0, 0.0193281, -0.000273925, 40, 7.5, 0, 49.9978, 49.9978, -1.93281, 0.0273925, 0.773398, 0.499978, 5.25099, 0.00311279, 0.000305176, 11.9608, 75.3308, 0, -0.00159534, -0.0010957, 64, 15.38, 0, 171.847, 156, 0.159534, 0.10957, 0.580049, 1.56, 16.4652, 0.00140381, -3.05176e-05, 11.9121, 75.2075, 0, 0.0208621, 0.00054785, 49, 3.68, 0, 192.942, 156, -2.08621, -0.054785, 0.524806, 1.56, 15.9765, 0.00152588, 9.15527e-05, 12.0513, 75.4541, 0, -0.014358, -0, 54, 7.96, 0, 192.032, 156, 1.4358, 0, 0.497184, 1.56, 16.0473, 0.00253296, -6.10352e-05, 11.9539, 75.3308, 0, -0.0129191, 0.00839528, 0.00307021, -0.00416911, 0.00766997, -0.00143286, 0.999961, -0.00833833, 0.0153401, -0.00286576, 0.00409524, -0.000671798, 0.0100262, -0.000576526, -0.000998923, 0.00541755, 0, 0, 0, 0, 0, 0, 0.00394303, -0.000744116, 0.0100819, -0.00145522, -0.000389926, 0.00319589, 0.0153274, 0.00835987, -0.999848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -0, 50, 80, 80, 800, 10, 10, 90, 90, 2000, 10, 10, 30, 8, 50, 50, 2000, 0, 0, 10, 10, 100, 20, 20, 800, 100, 100, 1000, 0.85, -0.2, 1.5, 0.25, 0.15, 0.1, -600, 0.25, 1, 0, 
12.4306, -0.000479369, 0, 0, 0, 0, 0, 0, 0.0431432, 0.0431432, 5.37007, -0.0240643, 0, 0, 0, 0, 0, 0, 2.16579, 2.16579, 2.17623, 0.417677, 0, 0.417677, 0, 0, 0.417677, 0, -10, -10, 5.25499, 0.0182237, 0.0054785, 57, 7.11, 0, 50.1644, 50.1644, -1.82237, -0.54785, 2.81738, 0.501644, 5.04673, 0.0175171, 6.10352e-05, 11.9747, 75.4541, 0, -0.00116582, 0.000821775, 46, -13.64, 0, 50.0247, 50.0247, 0.116582, -0.0821775, 1.98874, 0.500247, 4.9623, 0.0161438, -0.000488281, 11.9886, 75.824, 0, 0.0193281, -0.0076699, 40, 7.5, 0, 49.9386, 49.9386, -1.93281, 0.76699, 2.20971, 0.499386, 5.24475, 0.015564, 0.000335693, 11.9608, 75.3308, 0, -0.00159534, 0.00136962, 64, 15.38, 0, 171.897, 171.897, 0.159534, -0.136962, 2.73451, 1.71897, 18.2212, 0.0186462, -0.000274658, 11.9121, 75.2075, 0, 0.0208621, -0.0032871, 49, 3.68, 0, 192.899, 192.899, -2.08621, 0.32871, 2.76214, 1.92899, 19.9624, 0.0176697, 3.05176e-05, 12.0513, 75.4541, 0, -0.014358, 0.000273925, 54, 7.96, 0, 192.04, 192.04, 1.4358, -0.0273925, 2.90024, 1.9204, 19.9492, 0.0178223, 0.00012207, 11.9539, 75.3308, 0, -0.0129191, 0.00839528, 0.00307021, -0.00416911, 0.00766997, -0.00143286, 0.999961, -0.00833833, 0.0153401, -0.00286576, 0.00409524, -0.000671798, 0.0100262, -0.000576526, -0.000998923, 0.00541755, 0, 0, 0, 0, 0, 0, 0.00394303, -0.000744116, 0.0100819, -0.00145522, -0.000389926, 0.00319589, 0.0153274, 0.00835987, -0.999848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -0, 50, 80, 80, 800, 10, 10, 90, 90, 2000, 10, 10, 30, 8, 50, 50, 2000, 0, 0, 10, 10, 100, 20, 20, 800, 100, 100, 1000, 0.85, -0.2, 1.5, 0.25, 0.15, 0.1, -600, 0.25, 1, 0, 
12.4316, -0.000479369, 0, 0, 0, 0, 0, 0, 0.0431432, 0.0431432, 5.4989, -0.0240643, 0, 0, 0, 0, 0, 0, 2.16579, 2.16579, 2.25087, 0.417677, 0, 0.417677, 0, 0, 0.417677, 0, -10, -10, 5.60814, 0.0182237, 0.0021914, 57, 7.11, 0, 50.0657, 50.0657, -1.82237, -0.21914, 4.17083, 0.500657, 5.03677, 0.0191345, 0.000183105, 11.9747, 75.4541, 0, -0.00116582, 0.000273925, 46, -13.64, 0, 50.0082, 50.0082, 0.116582, -0.0273925, 3.53553, 0.500082, 4.96067, 0.019165, -0.000640869, 11.9886, 75.824, 0, 0.0193281, 0.00739597, 40, 7.5, 0, 50.2219, 50.2219, -1.93281, -0.739597, 4.06034, 0.502219, 5.27461, 0.0215454, 0.000305176, 11.9608, 75.3308, 0, -0.00159534, 0.00301317, 64, 15.38, 0, 171.946, 171.946, 0.159534, -0.301317, 5.69, 1.71946, 18.2267, 0.0367126, -0.000518799, 11.9121, 75.2075, 0, 0.0208621, 0.000821775, 50, 5.1, 0, 192.95, 192.95, -2.08621, -0.0821775, 5.38616, 1.9295, 19.968, 0.032959, -0.000213623, 12.0513, 75.4541, 0, -0.014358, -0.0021914, 54, 7.96, 0, 192.014, 192.014, 1.4358, 0.21914, 5.60714, 1.92014, 19.9463, 0.0339661, 0.00012207, 11.9539, 75.3308, 0, -0.0129191, 0.00839528, 0.00307021, -0.00416911, 0.00766997, -0.00143286, 0.999961, -0.00833833, 0.0153401, -0.00286576, 0.00409524, -0.000671798, 0.0100262, -0.000576526, -0.000998923, 0.00541755, 0, 0, 0, 0, 0, 0, 0.00394303, -0.000744116, 0.0100819, -0.00145522, -0.000389926, 0.00319589, 0.0153274, 0.00835987, -0.999848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -0, 50, 80, 80, 800, 10, 10, 90, 90, 2000, 10, 10, 30, 8, 50, 50, 2000, 0, 0, 10, 10, 100, 20, 20, 800, 100, 100, 1000, 0.85, -0.2, 1.5, 0.25, 0.15, 0.1, -600, 0.25, 1, 0, 
12.4324, -0.000479369, 0, 0, 0, 0, 0, 0, 0.0431432, 0.0431432, 5.4989, -0.0240643, 0, 0, 0, 0, 0, 0, 2.16579, 2.16579, 2.25087, 0.417677, 0, 0.417677, 0, 0, 0.417677, 0, -10, -10, 5.60814, 0.0182237, 0.00164355, 57, 7.11, 0, 50.0493, 50.0493, -1.82237, -0.164355, 5.08233, 0.500493, 5.03511, 0.0214844, 0.000183105, 11.9747, 75.4541, 0, -0.00116582, 0.0021914, 46, -13.64, 0, 50.0657, 50.0657, 0.116582, -0.21914, 4.94422, 0.500657, 4.96639, 0.0216064, -0.000854492, 11.9886, 75.824, 0, 0.0193281, -0.0087656, 40, 7.5, 0, 49.9299, 49.9299, -1.93281, 0.87656, 5.16519, 0.499299, 5.24383, 0.022522, 0.000579834, 11.9608, 75.3308, 0, -0.00159534, -0.00684812, 64, 15.38, 0, 171.801, 171.801, 0.159534, 0.684812, 16.1585, 1.71801, 18.2106, 0.057312, -0.00454712, 11.9121, 75.2075, 0, 0.0208621, -0.0010957, 50, 5.1, 0, 192.917, 192.917, -2.08621, 0.10957, 16.1585, 1.92917, 19.9643, 0.0545654, -0.00363159, 12.0513, 75.4541, 0, -0.014358, 0.00410887, 54, 7.96, 0, 192.155, 192.155, 1.4358, -0.410887, 16.2414, 1.92155, 19.9618, 0.0548706, -0.00134277, 11.9539, 75.3308, 0, -0.0129191, 0.00839528, 0.00307021, -0.00416911, 0.00766997, -0.00143286, 0.999961, -0.00833833, 0.0153401, -0.00286576, 0.00409524, -0.000671798, 0.0100262, -0.000576526, -0.000998923, 0.00541755, 0, 0, 0, 0, 0, 0, 0.00394303, -0.000744116, 0.0100819, -0.00145522, -0.000389926, 0.00319589, 0.0153274, 0.00835987, -0.999848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -0, 50, 80, 80, 800, 10, 10, 90, 90, 2000, 10, 10, 30, 8, 50, 50, 2000, 0, 0, 10, 10, 100, 20, 20, 800, 100, 100, 1000, 0.85, -0.2, 1.5, 0.25, 0.15, 0.1, -600, 0.25, 1, 0, 
12.4334, -0.000479369, 0, 0, 0, 0, 0, 0, 0.0431432, 0.0431432, 5.7379, -0.0240643, 0, 0, 0, 0, 0, 0, 2.16579, 2.16579, 1.96481, 0.417677, 0, 0.417677, 0, 0, 0.417677, 0, -10, -10, 3.97151, 0.0181623, -0.0112309, 57, 7.11, 0, 49.9102, 49.9102, -1.81623, 1.12309, 4.83374, 0.499102, 5.02105, 0.0223083, 6.10352e-05, 11.9747, 75.4541, 0, -0.00122718, -0.0065742, 46, -13.64, 0, 49.9474, 49.9474, 0.122718, 0.65742, 4.88898, 0.499474, 4.95461, 0.0240784, -0.000976562, 11.9886, 75.824, 0, 0.0193281, -0.0065742, 41, 8.85, 0, 49.9474, 49.9474, -1.93281, 0.65742, 5.16519, 0.499474, 5.24568, 0.0232544, 0.000579834, 11.9608, 75.3308, 0, -0.0016567, -0.0150659, 64, 15.38, 0, 171.735, 171.735, 0.16567, 1.50659, 18.5616, 1.71735, 18.2033, 0.0620422, -0.0088501, 11.9121, 75.2075, 0, 0.0208008, -0.0131484, 49, 3.68, 0, 192.82, 192.82, -2.08008, 1.31484, 20.1636, 1.9282, 19.9537, 0.0660706, -0.00918579, 12.0513, 75.4541, 0, -0.0144194, -0.0150659, 54, 7.96, 0, 191.911, 191.911, 1.44194, 1.50659, 20.0531, 1.91911, 19.935, 0.0670471, -0.00720215, 11.9539, 75.3308, 0, -0.0128994, 0.00838891, 0.00312201, -0.00416887, 0.0076645, -0.00142132, 0.999961, -0.00833785, 0.0153292, -0.00284268, 0.00350029, -0.000706881, 0.0103459, 0.000845608, -0.00072233, 0.00221069, 0, 0, 0, 0, 0, 0, 0.00334345, -0.000783612, 0.0103922, 0, 0, 0, 0.0153166, 0.0083592, -0.999848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -0, 50, 80, 80, 800, 10, 10, 90, 90, 2000, 10, 10, 30, 8, 50, 50, 2000, 0, 0, 10, 10, 100, 20, 20, 800, 100, 100, 1000, 0.85, -0.2, 1.5, 0.25, 0.15, 0.1, -600, 0.25, 1, 0, 
12.4344, -0.000479369, 0, 0, 0, 0, 0, 0, 0.0431432, 0.0431432, 5.37005, -0.0241602, -0.0967444, 0, 0, 0, 0, 0, 2.17442, 2.17442, 2.59104, 0.417677, 0, 0.417677, 0, 0, 0.417677, 0, -10, -10, 3.98977, 0.0181623, -0.0249272, 58, 8.44, 0, 49.8006, 49.8006, -1.81623, 2.49272, 4.86136, 0.498006, 5.00999, 0.0247192, -0.00012207, 11.9747, 75.4541, 0, -0.00122718, -0.0213661, 46, -13.64, 0, 49.8291, 49.8291, 0.122718, 2.13661, 4.88898, 0.498291, 4.94283, 0.0248108, -0.000610352, 11.9886, 75.824, 0, 0.0192668, -0.0186269, 40, 7.5, 0, 49.851, 49.851, -1.92668, 1.86269, 5.19282, 0.49851, 5.23551, 0.024231, 0.000793457, 11.9608, 75.3308, 0, -0.00171806, -0.0531414, 64, 15.38, 0, 171.371, 171.371, 0.171806, 5.31414, 18.0367, 1.71371, 18.1628, 0.0680847, -0.0107117, 11.9121, 75.2075, 0, 0.0207394, -0.0517718, 49, 3.68, 0, 192.534, 192.534, -2.07394, 5.17718, 19.7217, 1.92534, 19.9223, 0.0707703, -0.0118408, 12.0513, 75.4541, 0, -0.0144808, -0.0599896, 54, 7.96, 0, 191.574, 191.574, 1.44808, 5.99896, 19.8598, 1.91574, 19.898, 0.0701294, -0.0117188, 11.9539, 75.3308, 0, -0.0128994, 0.00838891, 0.00312201, -0.00416887, 0.0076645, -0.00142132, 0.999961, -0.00833785, 0.0153292, -0.00284268, 0.00350029, -0.000706881, 0.0103459, 0.000845608, -0.00072233, 0.00221069, 0, 0, 0, 0, 0, 0, 0.00334345, -0.000783612, 0.0103922, 0, 0, 0, 0.0153166, 0.0083592, -0.999848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -0, 50, 80, 80, 800, 10, 10, 90, 90, 2000, 10, 10, 30, 8, 50, 50, 2000, 0, 0, 10, 10, 100, 20, 20, 800, 100, 100, 1000, 0.85, -0.2, 1.5, 0.25, 0.15, 0.1, -600, 0.25, 1, 0, 
12.4355, -0.000479369, 0, 0, 0, 0, 0, 0, 0.0431432, 0.0431432, 5.73796, -0.0242561, -0.0906179, 0, 0, 0, 0, 0, 2.18304, 2.18304, 2.37956, 0.417677, 0, 0.417677, 0, 0, 0.417677, 0, -10, -10, 2.70534, 0.018101, -0.0367059, 58, 8.44, 0, 49.7064, 49.7064, -1.8101, 3.67059, 4.80612, 0.497064, 5.00047, 0.0269165, -0.000640869, 11.9747, 75.4541, 0, -0.00128854, -0.0336928, 46, -13.64, 0, 49.7305, 49.7305, 0.128854, 3.36928, 4.75087, 0.497305, 4.93301, 0.0270386, -0.000488281, 11.9886, 75.824, 0, 0.0192668, -0.032871, 41, 8.85, 0, 49.737, 49.737, -1.92668, 3.2871, 5.19282, 0.49737, 5.2235, 0.0274963, 0.00088501, 11.9608, 75.3308, 0, -0.00184078, -0.105461, 64, 15.38, 0, 170.892, 170.892, 0.184078, 10.5461, 17.7605, 1.70892, 18.1096, 0.0745239, -0.0149841, 11.9121, 75.2075, 0, 0.0206167, -0.0988869, 49, 3.68, 0, 192.179, 192.179, -2.06167, 9.88869, 19.2797, 1.92179, 19.8834, 0.0805969, -0.0140991, 12.0513, 75.4541, 0, -0.0146035, -0.101626, 54, 7.96, 0, 191.263, 191.263, 1.46035, 10.1626, 19.114, 1.91263, 19.8638, 0.0823669, -0.017395, 11.9539, 75.3308, 0, -0.0128994, 0.00838891, 0.00312201, -0.00416887, 0.0076645, -0.00142132, 0.999961, -0.00833785, 0.0153292, -0.00284268, 0.00350029, -0.000706881, 0.0103459, 0.000845608, -0.00072233, 0.00221069, 0, 0, 0, 0, 0, 0, 0.00334345, -0.000783612, 0.0103922, 0, 0, 0, 0.0153166, 0.0083592, -0.999848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -0, 50, 80, 80, 800, 10, 10, 90, 90, 2000, 10, 10, 30, 8, 50, 50, 2000, 0, 0, 10, 10, 100, 20, 20, 800, 100, 100, 1000, 0.85, -0.2, 1.5, 0.25, 0.15, 0.1, -600, 0.25, 1, 0, 
12.4365, -0.000383495, 0.0961622, 0, 0, 0, 0, 0, 0.0345145, 0.0345145, 5.49674, -0.0244478, -0.192324, 0, 0, 0, 0, 0, 2.2003, 2.2003, 2.10267, 0.417675, -0.0018992, 0.417677, 0, 0, 0.417677, 0, -10, -10, 4.90653, 0.0180396, -0.0443758, 57, 7.11, 0, 49.645, 49.645, -1.80396, 4.43758, 5.02709, 0.49645, 4.99427, 0.0292358, -0.00161743, 11.9747, 75.4541, 0, -0.0013499, -0.0468412, 46, -13.64, 0, 49.6253, 49.6253, 0.13499, 4.68412, 4.75087, 0.496253, 4.92254, 0.0297546, -0.000152588, 11.9886, 75.824, 0, 0.0192054, -0.0476629, 40, 7.5, 0, 49.6187, 49.6187, -1.92054, 4.76629, 5.02709, 0.496187, 5.21102, 0.030304, 0.000732422, 11.9608, 75.3308, 0, -0.00202485, -0.14025, 64, 15.38, 0, 170.49, 170.49, 0.202485, 14.025, 17.7882, 1.7049, 18.0649, 0.0844727, -0.0213623, 11.9121, 75.2075, 0, 0.0204326, -0.146002, 49, 3.68, 0, 191.795, 191.795, -2.04326, 14.6002, 19.335, 1.91795, 19.8412, 0.090271, -0.0232239, 12.0513, 75.4541, 0, -0.0147876, -0.154768, 53, 6.57, 0, 190.926, 190.926, 1.47876, 15.4768, 19.2797, 1.90926, 19.8267, 0.090271, -0.0217285, 11.9539, 75.3308, 0, -0.0128994, 0.00838891, 0.00312201, -0.00416887, 0.0076645, -0.00142132, 0.999961, -0.00833785, 0.0153292, -0.00284268, 0.00350029, -0.000706881, 0.0103459, 0.000845608, -0.00072233, 0.00221069, 0, 0, 0, 0, 0, 0, 0.00334345, -0.000783612, 0.0103922, 0, 0, 0, 0.0153166, 0.0083592, -0.999848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -0, 50, 80, 80, 800, 10, 10, 90, 90, 2000, 10, 10, 30, 8, 50, 50, 2000, 0, 0, 10, 10, 100, 20, 20, 800, 100, 100, 1000, 0.85, -0.2, 1.5, 0.25, 0.15, 0.1, -600, 0.25, 1, 0, 
